Product Name,Brand,Brand Tier,Price (USD),COGS (USD),Days of Inventory,Units in Stock,Views Last Month,Volume Sold Last Month,Score,Override
Hydra Propolis Essence,Skinfood,A,28.11,13.65,13,177,4285,368,1647.46,False
Soothing Ginseng Serum,Missha,B,77.59,52.98,36,66,4480,346,1627.61,False
Glow Hyaluronic Acid Ampoule,Skinfood,B,63.25,42.39,29,481,4591,309,1572.06,False
Soothing Propolis Emulsion,Laneige,B,14.55,6.34,63,391,4013,369,1563.81,False
Calm Niacinamide Lotion,Sulwhasoo,B,28.99,17.1,76,415,3565,387,1513.89,False
Silky Propolis Cream,Innisfree,A,31.3,20.07,23,189,4711,257,1507.43,False
Youth Mugwort Toner,Tony Moly,C,31.32,17.4,30,330,4207,331,1507.3200000000002,False
Fresh Niacinamide Cream,Mamonde,A,11.44,5.57,89,169,3830,335,1481.87,False
Glow Niacinamide Mask,Missha,A,51.91,28.68,45,361,4746,227,1466.43,False
Radiant Centella Serum,Hera,C,57.9,29.48,37,327,4069,305,1442.2200000000003,False
